Chapter1exercise_1pt2_2 .csv
8n²,64nlgn,
0,nan,
64nlgn,8n²,
0,8,
8n²,64nlgn,
32,88.7228,
8n²,64nlgn,
72,210.934,
8n²,64nlgn,
128,354.891,
8n²,64nlgn,
200,515.02,
8n²,64nlgn,
288,688.036,
8n²,64nlgn,
392,871.768,
8n²,64nlgn,
512,1064.67,
8n²,64nlgn,
648,1265.6,
8n²,64nlgn,
800,1473.65,
8n²,64nlgn,
968,1688.12,
8n²,64nlgn,
1152,1908.41,
8n²,64nlgn,
1352,2134.04,
8n²,64nlgn,
1568,2364.6,
8n²,64nlgn,
1800,2599.73,
8n²,64nlgn,
2048,2839.13,
8n²,64nlgn,
2312,3082.54,
8n²,64nlgn,
2592,3329.71,
8n²,64nlgn,
2888,3580.44,
8n²,64nlgn,
3200,3834.54,
8n²,64nlgn,
3528,4091.84,
8n²,64nlgn,
3872,4352.19,
8n²,64nlgn,
4232,4615.45,
8n²,64nlgn,
4608,4881.49,
8n²,64nlgn,
5000,5150.2,
8n²,64nlgn,
5408,5421.47,
64nlgn,8n²,
5695.21,5832,
64nlgn,8n²,
5971.31,6272,
64nlgn,8n²,
6249.7,6728,
64nlgn,8n²,
6530.3,7200,
64nlgn,8n²,
6813.03,7688,
64nlgn,8n²,
7097.83,8192,
64nlgn,8n²,
7384.62,8712,
64nlgn,8n²,
7673.36,9248,
64nlgn,8n²,
7963.98,9800,
64nlgn,8n²,
8256.43,10368,
64nlgn,8n²,
8550.65,10952,
64nlgn,8n²,
8846.61,11552,
64nlgn,8n²,
9144.25,12168,
64nlgn,8n²,
9443.53,12800,
64nlgn,8n²,
9744.41,13448,
64nlgn,8n²,
10046.9,14112,
64nlgn,8n²,
10350.8,14792,
64nlgn,8n²,
10656.3,15488,
64nlgn,8n²,
10963.2,16200,
64nlgn,8n²,
11271.5,16928,
64nlgn,8n²,
11581.2,17672,
64nlgn,8n²,
11892.3,18432,
64nlgn,8n²,
12204.7,19208,
64nlgn,8n²,
12518.5,20000,
64nlgn,8n²,
12833.5,20808,
64nlgn,8n²,
13149.7,21632,
64nlgn,8n²,
13467.2,22472,
64nlgn,8n²,
13785.9,23328,
64nlgn,8n²,
14105.8,24200,
64nlgn,8n²,
14426.9,25088,
64nlgn,8n²,
14749.1,25992,
64nlgn,8n²,
15072.4,26912,
64nlgn,8n²,
15396.8,27848,
64nlgn,8n²,
15722.3,28800,
64nlgn,8n²,
16048.9,29768,
64nlgn,8n²,
16376.5,30752,
64nlgn,8n²,
16705.1,31752,
64nlgn,8n²,
17034.8,32768,
64nlgn,8n²,
17365.5,33800,
64nlgn,8n²,
17697.1,34848,
64nlgn,8n²,
18029.7,35912,
64nlgn,8n²,
18363.3,36992,
64nlgn,8n²,
18697.8,38088,
64nlgn,8n²,
19033.3,39200,
64nlgn,8n²,
19369.6,40328,
64nlgn,8n²,
19706.9,41472,
64nlgn,8n²,
20045,42632,
64nlgn,8n²,
20384.1,43808,
64nlgn,8n²,
20723.9,45000,
64nlgn,8n²,
21064.7,46208,
64nlgn,8n²,
21406.3,47432,
64nlgn,8n²,
21748.7,48672,
64nlgn,8n²,
22091.9,49928,
64nlgn,8n²,
22436,51200,
64nlgn,8n²,
22780.8,52488,
64nlgn,8n²,
23126.5,53792,
64nlgn,8n²,
23472.9,55112,
64nlgn,8n²,
23820.1,56448,
64nlgn,8n²,
24168,57800,
64nlgn,8n²,
24516.7,59168,
64nlgn,8n²,
24866.2,60552,
64nlgn,8n²,
25216.4,61952,
64nlgn,8n²,
25567.3,63368,
64nlgn,8n²,
25918.9,64800,
64nlgn,8n²,
26271.2,66248,
64nlgn,8n²,
26624.3,67712,
64nlgn,8n²,
26978,69192,
64nlgn,8n²,
27332.5,70688,
64nlgn,8n²,
27687.6,72200,
64nlgn,8n²,
28043.4,73728,
64nlgn,8n²,
28399.8,75272,
64nlgn,8n²,
28756.9,76832,
64nlgn,8n²,
29114.7,78408,
