Module1_Discussion.csv
4ˡᵍⁿ,lgn,n!,√n,eⁿ,2ˡᵍⁿ,n³,
0,-inf,1,0,1,0,0,
lgn,4ˡᵍⁿ,√n,2ˡᵍⁿ,n³,n!,eⁿ,
-inf,0,0,0,0,1,1,
lgn,4ˡᵍⁿ,√n,2ˡᵍⁿ,n³,n!,eⁿ,
0,1,1,1,1,1,2.71828,
lgn,4ˡᵍⁿ,√n,2ˡᵍⁿ,n³,n!,eⁿ,
0,1,1,1,1,1,2.71828,
lgn,4ˡᵍⁿ,√n,2ˡᵍⁿ,n³,n!,eⁿ,
0.693147,2.61406,1.41421,1.61681,8,2,7.38906,
lgn,√n,2ˡᵍⁿ,n!,4ˡᵍⁿ,eⁿ,n³,
0.693147,1.41421,1.61681,2,2.61406,7.38906,8,
lgn,√n,2ˡᵍⁿ,n!,4ˡᵍⁿ,eⁿ,n³,
1.09861,1.73205,2.14149,6,4.58596,20.0855,27,
lgn,√n,2ˡᵍⁿ,4ˡᵍⁿ,n!,eⁿ,n³,
1.09861,1.73205,2.14149,4.58596,6,20.0855,27,
lgn,√n,2ˡᵍⁿ,4ˡᵍⁿ,n!,eⁿ,n³,
1.38629,2,2.61406,6.83333,24,54.5982,64,
lgn,√n,2ˡᵍⁿ,4ˡᵍⁿ,n!,eⁿ,n³,
1.38629,2,2.61406,6.83333,24,54.5982,64,
lgn,√n,2ˡᵍⁿ,4ˡᵍⁿ,n!,eⁿ,n³,
1.60944,2.23607,3.05133,9.31061,120,148.413,125,
lgn,√n,2ˡᵍⁿ,4ˡᵍⁿ,n!,n³,eⁿ,
1.60944,2.23607,3.05133,9.31061,120,125,148.413,
lgn,√n,2ˡᵍⁿ,4ˡᵍⁿ,n!,n³,eⁿ,
1.79176,2.44949,3.46237,11.988,720,216,403.429,
lgn,√n,2ˡᵍⁿ,4ˡᵍⁿ,n³,eⁿ,n!,
1.79176,2.44949,3.46237,11.988,216,403.429,720,
lgn,√n,2ˡᵍⁿ,4ˡᵍⁿ,n³,eⁿ,n!,
1.94591,2.64575,3.85281,14.8441,343,1096.63,5040,
lgn,√n,2ˡᵍⁿ,4ˡᵍⁿ,n³,eⁿ,n!,
1.94591,2.64575,3.85281,14.8441,343,1096.63,5040,
lgn,√n,2ˡᵍⁿ,4ˡᵍⁿ,n³,eⁿ,n!,
2.07944,2.82843,4.22644,17.8628,512,2980.96,40320,
lgn,√n,2ˡᵍⁿ,4ˡᵍⁿ,n³,eⁿ,n!,
2.07944,2.82843,4.22644,17.8628,512,2980.96,40320,
lgn,√n,2ˡᵍⁿ,4ˡᵍⁿ,n³,eⁿ,n!,
2.19722,3,4.58596,21.0311,729,8103.08,362880,
lgn,√n,2ˡᵍⁿ,4ˡᵍⁿ,n³,eⁿ,n!,
2.19722,3,4.58596,21.0311,729,8103.08,362880,
lgn,√n,2ˡᵍⁿ,4ˡᵍⁿ,n³,eⁿ,n!,
2.30259,3.16228,4.93341,24.3385,1000,22026.5,3.6288e+006,
lgn,√n,2ˡᵍⁿ,4ˡᵍⁿ,n³,eⁿ,n!,
2.30259,3.16228,4.93341,24.3385,1000,22026.5,3.6288e+006,
lgn,√n,2ˡᵍⁿ,4ˡᵍⁿ,n³,eⁿ,n!,
2.3979,3.31662,5.27034,27.7765,1331,59874.1,3.99168e+007,
lgn,√n,2ˡᵍⁿ,4ˡᵍⁿ,n³,eⁿ,n!,
2.3979,3.31662,5.27034,27.7765,1331,59874.1,3.99168e+007,
lgn,√n,2ˡᵍⁿ,4ˡᵍⁿ,n³,eⁿ,n!,
2.48491,3.4641,5.59798,31.3374,1728,162755,4.79002e+008,
lgn,√n,2ˡᵍⁿ,4ˡᵍⁿ,n³,eⁿ,n!,
2.48491,3.4641,5.59798,31.3374,1728,162755,4.79002e+008,
lgn,√n,2ˡᵍⁿ,4ˡᵍⁿ,n³,eⁿ,n!,
2.56495,3.60555,5.91734,35.0149,2197,442413,6.22702e+009,
lgn,√n,2ˡᵍⁿ,4ˡᵍⁿ,n³,eⁿ,n!,
2.56495,3.60555,5.91734,35.0149,2197,442413,6.22702e+009,
lgn,√n,2ˡᵍⁿ,4ˡᵍⁿ,n³,eⁿ,n!,
2.63906,3.74166,6.22925,38.8035,2744,1.2026e+006,8.71783e+010,
lgn,√n,2ˡᵍⁿ,4ˡᵍⁿ,n³,eⁿ,n!,
2.63906,3.74166,6.22925,38.8035,2744,1.2026e+006,8.71783e+010,
lgn,√n,2ˡᵍⁿ,4ˡᵍⁿ,n³,eⁿ,n!,
2.70805,3.87298,6.53438,42.6981,3375,3.26902e+006,1.30767e+012,
lgn,√n,2ˡᵍⁿ,4ˡᵍⁿ,n³,eⁿ,n!,
2.70805,3.87298,6.53438,42.6981,3375,3.26902e+006,1.30767e+012,
lgn,√n,2ˡᵍⁿ,4ˡᵍⁿ,n³,eⁿ,n!,
2.77259,4,6.83333,46.6944,4096,8.88611e+006,2.09228e+013,
lgn,√n,2ˡᵍⁿ,4ˡᵍⁿ,n³,eⁿ,n!,
2.77259,4,6.83333,46.6944,4096,8.88611e+006,2.09228e+013,
lgn,√n,2ˡᵍⁿ,4ˡᵍⁿ,n³,eⁿ,n!,
2.83321,4.12311,7.1266,50.7884,4913,2.4155e+007,3.55687e+014,
lgn,√n,2ˡᵍⁿ,4ˡᵍⁿ,n³,eⁿ,n!,
2.83321,4.12311,7.1266,50.7884,4913,2.4155e+007,3.55687e+014,
lgn,√n,2ˡᵍⁿ,4ˡᵍⁿ,n³,eⁿ,n!,
2.89037,4.24264,7.41461,54.9765,5832,6.566e+007,6.40237e+015,
lgn,√n,2ˡᵍⁿ,4ˡᵍⁿ,n³,eⁿ,n!,
2.89037,4.24264,7.41461,54.9765,5832,6.566e+007,6.40237e+015,
lgn,√n,2ˡᵍⁿ,4ˡᵍⁿ,n³,eⁿ,n!,
2.94444,4.3589,7.69776,59.2555,6859,1.78482e+008,1.21645e+017,
lgn,√n,2ˡᵍⁿ,4ˡᵍⁿ,n³,eⁿ,n!,
2.94444,4.3589,7.69776,59.2555,6859,1.78482e+008,1.21645e+017,
